locus_tag,ftype,length_bp,gene,EC_number,COG,product
GMHGOCAD_00578,CDS,1026,fbpA_1,,,Major ferric iron-binding protein
GMHGOCAD_00582,CDS,756,rlmB,2.1.1.185,COG0566,23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
GMHGOCAD_00583,CDS,426,rpsF,,COG0360,30S ribosomal protein S6
GMHGOCAD_00584,CDS,231,rpsR,,COG0238,30S ribosomal protein S18
GMHGOCAD_00586,CDS,447,rplI,,COG0359,50S ribosomal protein L9
GMHGOCAD_00587,CDS,1452,dnaB_1,3.6.4.12,COG0305,Replicative DNA helicase
GMHGOCAD_00596,CDS,1215,pncB2_1,6.3.4.21,COG1488,Nicotinate phosphoribosyltransferase 2
GMHGOCAD_00597,CDS,894,gcvA_3,,,Glycine cleavage system transcriptional activator
GMHGOCAD_00598,CDS,1491,gabD,1.2.1.79,COG1012,Succinate-semialdehyde dehydrogenase [NADP(+)]
GMHGOCAD_00599,CDS,1284,puuB_1,1.4.3.-,,Gamma-glutamylputrescine oxidoreductase
GMHGOCAD_00600,CDS,1137,livJ,,COG0683,Leu/Ile/Val/Thr-binding protein
GMHGOCAD_00605,CDS,768,isfD2,1.1.1.313,COG4221,Sulfoacetaldehyde reductase 2
GMHGOCAD_00606,CDS,906,zitB,,,Zinc transporter ZitB
GMHGOCAD_00609,CDS,615,ureG,,COG0378,Urease accessory protein UreG
GMHGOCAD_00610,CDS,675,ureF,,COG0830,Urease accessory protein UreF
GMHGOCAD_00611,CDS,501,ureE,,,Urease accessory protein UreE
GMHGOCAD_00612,CDS,723,fabR,,COG1309,HTH-type transcriptional repressor FabR
GMHGOCAD_00616,CDS,912,gcvA_4,,,Glycine cleavage system transcriptional activator
GMHGOCAD_00617,CDS,639,azoR1_1,1.7.1.17,COG1182,FMN-dependent NADH-azoreductase 1
GMHGOCAD_00619,CDS,891,lips,3.1.1.3,,Triacylglycerol lipase
GMHGOCAD_00621,CDS,789,nimR_1,,,HTH-type transcriptional regulator NimR
GMHGOCAD_00622,CDS,300,psiF,,,Phosphate starvation-inducible protein PsiF
GMHGOCAD_00624,CDS,1266,dnaK_1,,COG0443,Chaperone protein DnaK
GMHGOCAD_00625,CDS,939,cbpA,,COG2214,Curved DNA-binding protein
GMHGOCAD_00626,CDS,303,cbpM,,,Chaperone modulatory protein CbpM
GMHGOCAD_00627,CDS,1701,ureC,3.5.1.5,,Urease subunit alpha
GMHGOCAD_00628,CDS,306,ureB,3.5.1.5,,Urease subunit beta
GMHGOCAD_00629,CDS,534,ttr,2.3.1.-,,Acetyltransferase
GMHGOCAD_00631,CDS,303,ureA,3.5.1.5,,Urease subunit gamma
GMHGOCAD_00632,CDS,840,ureD,,,Urease accessory protein UreD
GMHGOCAD_00634,CDS,861,cbiO,3.6.3.-,COG1122,Cobalt import ATP-binding protein CbiO
GMHGOCAD_00637,CDS,1266,amiC_2,,,Aliphatic amidase expression-regulating protein
GMHGOCAD_00639,CDS,1011,hmuU_1,,COG0609,Hemin transport system permease protein HmuU
GMHGOCAD_00640,CDS,960,btuF_1,,,Vitamin B12-binding protein
GMHGOCAD_00641,CDS,789,fpuC,7.2.2.-,COG1120,Petrobactin import ATP-binding protein FpuC
GMHGOCAD_00642,CDS,2130,cntO_2,,COG1629,Metal-pseudopaline receptor CntO
GMHGOCAD_00644,CDS,2139,btuB_1,,,Vitamin B12 transporter BtuB
GMHGOCAD_00651,CDS,1098,cbiD,2.1.1.195,COG1903,Cobalt-precorrin-5B C(1)-methyltransferase
GMHGOCAD_00655,CDS,735,cobI,2.1.1.130,,Precorrin-2 C(20)-methyltransferase
GMHGOCAD_00656,CDS,1710,cysG_1,4.99.1.4,,Siroheme synthase
GMHGOCAD_00662,CDS,2787,rcsC_1,2.7.13.3,,Sensor histidine kinase RcsC
GMHGOCAD_00663,CDS,1290,purD,6.3.4.13,COG0151,Phosphoribosylamine--glycine ligase
GMHGOCAD_00665,CDS,321,fis,,,DNA-binding protein Fis
GMHGOCAD_00666,CDS,1014,dusB,1.3.1.-,COG0042,tRNA-dihydrouridine synthase B
GMHGOCAD_00668,CDS,879,prmA,2.1.1.-,COG2264,Ribosomal protein L11 methyltransferase
GMHGOCAD_00670,CDS,1359,accC_1,6.3.4.14,COG0439,Biotin carboxylase
GMHGOCAD_00671,CDS,462,accB_1,,COG0511,Biotin carboxyl carrier protein of acetyl-CoA carboxylase
GMHGOCAD_00672,CDS,453,aroQ1,4.2.1.10,COG0757,3-dehydroquinate dehydratase 1
GMHGOCAD_00673,CDS,1962,ctpL,,,Methyl-accepting chemotaxis protein CtpL
GMHGOCAD_00674,CDS,1671,rssB_1,,,Regulator of RpoS
GMHGOCAD_00676,CDS,537,yfcD,3.6.-.-,,putative Nudix hydrolase YfcD
GMHGOCAD_00677,CDS,372,yciH,,COG0023,putative protein YciH
GMHGOCAD_00678,CDS,1914,speA,4.1.1.19,,Biosynthetic arginine decarboxylase
GMHGOCAD_00679,CDS,1347,dinF,,COG0534,DNA damage-inducible protein F
GMHGOCAD_00689,CDS,792,rssB_2,,,Regulator of RpoS
GMHGOCAD_00696,CDS,1254,sctC,,,Type 3 secretion system secretin
GMHGOCAD_00700,CDS,414,todT_1,,,Response regulator protein TodT
GMHGOCAD_00706,CDS,405,hmrR,,,HTH-type transcriptional regulator HmrR
GMHGOCAD_00707,CDS,2397,copA_1,7.2.2.8,COG2217,Copper-exporting P-type ATPase
GMHGOCAD_00714,CDS,912,dmlR_2,,,HTH-type transcriptional regulator DmlR
GMHGOCAD_00715,CDS,1371,naiP_1,,,Putative niacin/nicotinamide transporter NaiP
GMHGOCAD_00717,CDS,1089,chaA,,COG0387,Sodium-potassium/proton antiporter ChaA
GMHGOCAD_00721,CDS,351,merR1_1,,,Mercuric resistance operon regulatory protein
GMHGOCAD_00724,CDS,669,rutR_1,,COG1309,HTH-type transcriptional regulator RutR
GMHGOCAD_00727,CDS,1494,bauC,1.2.1.-,COG1012,Putative 3-oxopropanoate dehydrogenase
GMHGOCAD_00733,CDS,3453,recC,3.1.11.5,COG1330,RecBCD enzyme subunit RecC
GMHGOCAD_00734,CDS,3690,recB_1,3.1.11.5,COG1074,RecBCD enzyme subunit RecB
GMHGOCAD_00735,CDS,2082,recD,3.1.11.5,COG0507,RecBCD enzyme subunit RecD
GMHGOCAD_00737,CDS,1269,dgcN,2.7.7.65,COG2199,Diguanylate cyclase DgcN
GMHGOCAD_00738,CDS,504,pal_1,,,Peptidoglycan-associated lipoprotein
GMHGOCAD_00739,CDS,951,hdfR_3,,,HTH-type transcriptional regulator HdfR
GMHGOCAD_00740,CDS,1527,mmsA,1.2.1.27,COG1012,Methylmalonate-semialdehyde dehydrogenase [acylating]
GMHGOCAD_00741,CDS,888,mmsB,1.1.1.31,COG2084,3-hydroxyisobutyrate dehydrogenase
GMHGOCAD_00745,CDS,642,kynB,3.5.1.9,COG1878,Kynurenine formamidase
GMHGOCAD_00747,CDS,1500,gabR_1,,COG1167,HTH-type transcriptional regulatory protein GabR
GMHGOCAD_00748,CDS,1209,ydcO_1,,COG3135,Inner membrane protein YdcO
GMHGOCAD_00749,CDS,1401,aroP_1,,COG1113,Aromatic amino acid transport protein AroP
GMHGOCAD_00750,CDS,1023,antC,,COG0543,"Anthranilate 1,2-dioxygenase electron transfer component"
GMHGOCAD_00751,CDS,492,antB,1.14.12.1,COG5517,"Anthranilate 1,2-dioxygenase small subunit"
GMHGOCAD_00752,CDS,1386,antA_1,1.14.12.1,COG4638,"Anthranilate 1,2-dioxygenase large subunit"
GMHGOCAD_00754,CDS,474,lrp_1,,COG1522,Leucine-responsive regulatory protein
GMHGOCAD_00755,CDS,1251,kynU_1,3.7.1.3,,Kynureninase
GMHGOCAD_00756,CDS,1404,pheP,,COG1113,Phenylalanine-specific permease
GMHGOCAD_00757,CDS,372,merR1_2,,,Mercuric resistance operon regulatory protein
GMHGOCAD_00759,CDS,882,cysL_1,,COG0583,HTH-type transcriptional regulator CysL
GMHGOCAD_00762,CDS,600,mdaB,1.6.5.10,COG2249,NADPH:quinone oxidoreductase MdaB
GMHGOCAD_00763,CDS,912,dmlR_3,,,HTH-type transcriptional regulator DmlR
GMHGOCAD_00764,CDS,894,auaH,1.1.1.394,,Aurachin B dehydrogenase
GMHGOCAD_00765,CDS,1668,ggt_1,3.4.19.13,COG0405,Glutathione hydrolase proenzyme
GMHGOCAD_00766,CDS,1446,bicA,,COG0659,Bicarbonate transporter BicA
GMHGOCAD_00767,CDS,1350,gntT_1,,COG2610,High-affinity gluconate transporter
GMHGOCAD_00768,CDS,861,hexR_1,,COG1737,HTH-type transcriptional regulator HexR
GMHGOCAD_00769,CDS,1467,dan,3.5.1.81,,D-aminoacylase
GMHGOCAD_00771,CDS,1029,rhaS_2,,,HTH-type transcriptional activator RhaS
GMHGOCAD_00772,CDS,1920,mcpS,,COG0840,Methyl-accepting chemotaxis protein McpS
GMHGOCAD_00773,CDS,708,ais_1,3.1.3.-,,Lipopolysaccharide core heptose(II)-phosphate phosphatase
GMHGOCAD_00776,CDS,1467,arnT_1,2.4.2.43,,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
GMHGOCAD_00778,CDS,351,yybR_1,,COG1733,putative HTH-type transcriptional regulator YybR
GMHGOCAD_00783,CDS,783,nimR_2,,,HTH-type transcriptional regulator NimR
GMHGOCAD_00790,CDS,486,soxR_1,,COG0789,Redox-sensitive transcriptional activator SoxR
GMHGOCAD_00791,CDS,1143,bepF_1,,,Efflux pump periplasmic linker BepF
GMHGOCAD_00792,CDS,3159,oqxB12,,,multidrug efflux RND transporter permease subunit OqxB12
GMHGOCAD_00795,CDS,378,yabJ_1,3.5.99.10,COG0251,2-iminobutanoate/2-iminopropanoate deaminase
GMHGOCAD_00796,CDS,1137,dauA_2,1.4.99.6,,FAD-dependent catabolic D-arginine dehydrogenase DauA
GMHGOCAD_00798,CDS,906,laaA,3.5.1.101,,L-amino acid amidase
GMHGOCAD_00799,CDS,762,anoR,,,Transcriptional activator protein AnoR
GMHGOCAD_00800,CDS,888,pip_2,3.4.11.5,,Proline iminopeptidase
GMHGOCAD_00801,CDS,948,gsiC,,COG0601,Glutathione transport system permease protein GsiC
GMHGOCAD_00802,CDS,852,ddpC,,COG1173,"putative D,D-dipeptide transport system permease protein DdpC"
GMHGOCAD_00803,CDS,987,oppD,,COG0444,Oligopeptide transport ATP-binding protein OppD
GMHGOCAD_00804,CDS,972,oppF,,COG4608,Oligopeptide transport ATP-binding protein OppF
GMHGOCAD_00805,CDS,1515,gsiB,,COG0747,Glutathione-binding protein GsiB
GMHGOCAD_00811,CDS,1455,lutB,,COG1139,Lactate utilization protein B
GMHGOCAD_00813,CDS,1695,glcA,,COG1620,Glycolate permease GlcA
GMHGOCAD_00814,CDS,768,pdhR,,COG2186,Pyruvate dehydrogenase complex repressor
GMHGOCAD_00817,CDS,435,ratA,,COG2867,Ribosome association toxin RatA
GMHGOCAD_00819,CDS,525,bamE,,,Outer membrane protein assembly factor BamE
GMHGOCAD_00820,CDS,405,fur,,COG0735,Ferric uptake regulation protein
GMHGOCAD_00823,CDS,1917,dnaK_2,,COG0443,Chaperone protein DnaK
GMHGOCAD_00827,CDS,3222,carB,6.3.5.5,COG0458,Carbamoyl-phosphate synthase large chain
GMHGOCAD_00828,CDS,477,greA,,COG0782,Transcription elongation factor GreA
GMHGOCAD_00831,CDS,630,rlmE,2.1.1.166,COG0293,Ribosomal RNA large subunit methyltransferase E
GMHGOCAD_00832,CDS,1914,ftsH,3.4.24.-,COG0465,ATP-dependent zinc metalloprotease FtsH
GMHGOCAD_00834,CDS,1338,glmM,5.4.2.10,COG1109,Phosphoglucosamine mutase
GMHGOCAD_00846,CDS,1206,intS,,COG0582,Prophage integrase IntS
GMHGOCAD_00858,CDS,954,xerD_1,,COG4974,Tyrosine recombinase XerD
GMHGOCAD_00864,CDS,849,nadC,2.4.2.19,COG0157,Nicotinate-nucleotide pyrophosphorylase [carboxylating]
GMHGOCAD_00866,CDS,561,ampD,3.5.1.28,,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD"
GMHGOCAD_00870,CDS,792,yjjV,3.1.-.-,COG0084,putative metal-dependent hydrolase YjjV
GMHGOCAD_00871,CDS,996,cra,,COG1609,Catabolite repressor/activator
GMHGOCAD_00873,CDS,942,lacC,2.7.1.144,COG1105,Tagatose-6-phosphate kinase
GMHGOCAD_00876,CDS,978,cas1,3.1.-.-,,CRISPR-associated endonuclease Cas1
GMHGOCAD_00877,CDS,3390,cas3,3.1.-.-,,CRISPR-associated nuclease/helicase Cas3 subtype I-F/YPEST
GMHGOCAD_00878,CDS,1347,csy1,,,CRISPR-associated protein Csy1
GMHGOCAD_00879,CDS,990,csy2,,,CRISPR-associated protein Csy2
GMHGOCAD_00880,CDS,1023,csy3,,,CRISPR-associated protein Csy3
GMHGOCAD_00881,CDS,564,cas6f,3.1.-.-,,CRISPR-associated endonuclease Cas6/Csy4
GMHGOCAD_00882,CDS,1542,phoD,3.1.3.1,COG3540,Alkaline phosphatase D
GMHGOCAD_00884,CDS,2274,bfrD_1,,COG4774,putative TonB-dependent receptor BfrD
GMHGOCAD_00889,CDS,1164,ldc,4.1.1.17,,Lysine/ornithine decarboxylase
GMHGOCAD_00890,CDS,1158,osmV,3.6.3.-,COG1125,Osmoprotectant import ATP-binding protein OsmV
GMHGOCAD_00891,CDS,669,osmW,,COG1174,Osmoprotectant import permease protein OsmW
GMHGOCAD_00892,CDS,894,osmX,,COG1732,Osmoprotectant-binding protein OsmX
GMHGOCAD_00893,CDS,717,osmY,,COG1174,Osmoprotectant import permease protein OsmY
GMHGOCAD_00894,CDS,1584,prfC,,COG4108,Peptide chain release factor RF3
GMHGOCAD_00896,CDS,969,ddpF,,COG1124,"putative D,D-dipeptide transport ATP-binding protein DdpF"
GMHGOCAD_00897,CDS,969,dppD,,COG0444,Dipeptide transport ATP-binding protein DppD
GMHGOCAD_00898,CDS,912,dppC,,COG1173,Dipeptide transport system permease protein DppC
GMHGOCAD_00899,CDS,1011,dppB,,COG0601,Dipeptide transport system permease protein DppB
GMHGOCAD_00900,CDS,1599,dppA_1,,COG0747,Periplasmic dipeptide transport protein
GMHGOCAD_00901,CDS,1407,oprD_2,3.4.21.-,,Porin D
GMHGOCAD_00902,CDS,1602,dppA_2,,COG0747,Periplasmic dipeptide transport protein
GMHGOCAD_00903,CDS,1626,dppA_3,,COG0747,Periplasmic dipeptide transport protein
GMHGOCAD_00905,CDS,564,sutR_1,,COG1396,HTH-type transcriptional regulator SutR
GMHGOCAD_00907,CDS,1263,regB,2.7.13.3,,Sensor histidine kinase RegB
GMHGOCAD_00908,CDS,561,regA,,COG4567,Photosynthetic apparatus regulatory protein RegA
GMHGOCAD_00909,CDS,1728,bacA,,COG4178,Vitamin B12 transport ATP-binding protein BacA
GMHGOCAD_00914,CDS,1038,yrbG,,COG0530,Inner membrane protein YrbG
GMHGOCAD_00915,CDS,408,rlpA_1,4.2.2.-,,Endolytic peptidoglycan transglycosylase RlpA
GMHGOCAD_00917,CDS,1452,gatA_1,6.3.5.7,COG0154,Glutamyl-tRNA(Gln) amidotransferase subunit A
GMHGOCAD_00919,CDS,1038,mreB,,COG1077,Cell shape-determining protein MreB
GMHGOCAD_00921,CDS,492,mreD,,COG2891,Rod shape-determining protein MreD
GMHGOCAD_00922,CDS,597,yhdE,3.6.1.9,COG0424,dTTP/UTP pyrophosphatase
GMHGOCAD_00923,CDS,1458,rng,3.1.26.-,COG1530,Ribonuclease G
GMHGOCAD_00925,CDS,840,nit1_1,3.5.1.128,,Deaminated glutathione amidase
GMHGOCAD_00926,CDS,1443,tldD,3.4.-.-,COG0312,Metalloprotease TldD
GMHGOCAD_00928,CDS,1347,pmbA,3.4.-.-,COG0312,Metalloprotease PmbA
GMHGOCAD_00929,CDS,873,mrkD,,,Fimbria adhesin protein
GMHGOCAD_00930,CDS,2598,fimD,,COG3188,Outer membrane usher protein FimD
GMHGOCAD_00931,CDS,783,lpfB,,,putative fimbrial chaperone LpfB
GMHGOCAD_00932,CDS,537,sfaA_1,,,S-fimbrial protein subunit SfaA
GMHGOCAD_00934,CDS,1377,fumC_1,4.2.1.2,COG0114,Fumarate hydratase class II
GMHGOCAD_00936,CDS,612,sodB_1,1.15.1.1,,Superoxide dismutase [Mn/Fe]
GMHGOCAD_00937,CDS,894,zupT,,,Zinc transporter ZupT
GMHGOCAD_00938,CDS,273,ptsO,,COG1925,Phosphocarrier protein NPr
GMHGOCAD_00939,CDS,858,rapZ,,COG1660,RNase adapter protein RapZ
GMHGOCAD_00940,CDS,465,ptsN_1,,COG1762,Nitrogen regulatory protein
GMHGOCAD_00942,CDS,1470,rpoN,,COG1508,RNA polymerase sigma-54 factor
GMHGOCAD_00944,CDS,546,lptA,,COG1934,Lipopolysaccharide export system protein LptA
GMHGOCAD_00945,CDS,573,lptC,,,Lipopolysaccharide export system protein LptC
GMHGOCAD_00946,CDS,525,kdsC,3.1.3.45,COG1778,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
GMHGOCAD_00947,CDS,975,kdsD,5.3.1.13,COG0517,Arabinose 5-phosphate isomerase KdsD
GMHGOCAD_00948,CDS,810,mlaF,3.6.3.-,COG1127,Intermembrane phospholipid transport system ATP-binding protein MlaF
GMHGOCAD_00949,CDS,798,mlaE,,COG0767,Intermembrane phospholipid transport system permease protein MlaE
GMHGOCAD_00950,CDS,468,mlaD,,COG1463,Intermembrane phospholipid transport system binding protein MlaD
GMHGOCAD_00951,CDS,654,mlaC,,COG2854,Intermembrane phospholipid transport system binding protein MlaC
GMHGOCAD_00957,CDS,1053,hisC_2,2.6.1.9,COG0079,Histidinol-phosphate aminotransferase
GMHGOCAD_00959,CDS,966,cdhR_1,,COG4977,HTH-type transcriptional regulator CdhR
GMHGOCAD_00961,CDS,2106,cntO_3,,,Metal-pseudopaline receptor CntO
GMHGOCAD_00962,CDS,1155,degS,3.4.21.107,COG0265,Serine endoprotease DegS
GMHGOCAD_00967,CDS,906,yihG_1,2.3.-.-,COG0204,putative acyltransferase YihG
GMHGOCAD_00968,CDS,2100,pta,2.3.1.8,COG0280,Phosphate acetyltransferase
GMHGOCAD_00969,CDS,486,slyD,5.2.1.8,COG1047,FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
GMHGOCAD_00970,CDS,483,btuE_1,1.11.1.15,COG0386,Thioredoxin/glutathione peroxidase BtuE
GMHGOCAD_00972,CDS,1272,mgtA_1,2.4.1.-,COG0438,GDP-mannose-dependent alpha-mannosyltransferase
GMHGOCAD_00973,CDS,756,cysZ,,COG2981,Sulfate transporter CysZ
GMHGOCAD_00977,CDS,372,folX,5.1.99.7,COG1539,Dihydroneopterin triphosphate 2'-epimerase
GMHGOCAD_00978,CDS,561,folE_1,3.5.4.16,COG0302,GTP cyclohydrolase 1
GMHGOCAD_00979,CDS,711,folM,1.5.1.50,COG1028,Dihydromonapterin reductase
GMHGOCAD_00986,CDS,387,cidA_1,,,Holin-like protein CidA
GMHGOCAD_00987,CDS,687,yohK_1,,COG1346,Inner membrane protein YohK
GMHGOCAD_00988,CDS,783,fucA,4.1.2.17,,L-fuculose phosphate aldolase
GMHGOCAD_00989,CDS,903,oleB,4.1.1.114,COG0596,Cis-3-alkyl-4-alkyloxetan-2-one decarboxylase
GMHGOCAD_00991,CDS,801,kdgR_1,,,Pectin degradation repressor protein KdgR
GMHGOCAD_00994,CDS,639,nagL,5.2.1.4,,Maleylpyruvate isomerase
GMHGOCAD_00995,CDS,1371,pcaK_1,,COG0477,4-hydroxybenzoate transporter PcaK
GMHGOCAD_01001,CDS,501,psiE,,,Protein PsiE
GMHGOCAD_01003,CDS,1302,sdaC_1,,COG0814,Serine transporter
GMHGOCAD_01004,CDS,1377,tdcG,4.3.1.17,COG1760,L-serine dehydratase TdcG
GMHGOCAD_01005,CDS,948,gcvA_5,,,Glycine cleavage system transcriptional activator
GMHGOCAD_01013,CDS,408,exbD_2,,COG0848,Biopolymer transport protein ExbD
GMHGOCAD_01016,CDS,645,tolQ_2,,,Tol-Pal system protein TolQ
GMHGOCAD_01017,CDS,1704,yhcR,3.1.31.-,COG0737,Endonuclease YhcR
GMHGOCAD_01019,CDS,2436,cntO_4,,COG1629,Metal-pseudopaline receptor CntO
GMHGOCAD_01021,CDS,876,rhaS_3,,,HTH-type transcriptional activator RhaS
GMHGOCAD_01024,CDS,978,ghrB_1,1.1.1.79,COG1052,Glyoxylate/hydroxypyruvate reductase B
GMHGOCAD_01025,CDS,969,dmlR_4,,,HTH-type transcriptional regulator DmlR
GMHGOCAD_01026,CDS,1512,cusC,,COG1538,Cation efflux system protein CusC
GMHGOCAD_01027,CDS,2208,aaeB_2,,,p-hydroxybenzoic acid efflux pump subunit AaeB
GMHGOCAD_01028,CDS,201,aaeX,,,Protein AaeX
GMHGOCAD_01029,CDS,864,aaeA_2,,COG1566,p-hydroxybenzoic acid efflux pump subunit AaeA
GMHGOCAD_01035,CDS,588,fic,2.7.7.-,COG2184,putative protein adenylyltransferase Fic
GMHGOCAD_01037,CDS,1452,algA,,COG0662,Alginate biosynthesis protein AlgA
GMHGOCAD_01038,CDS,657,algF,,,Alginate biosynthesis protein AlgF
GMHGOCAD_01039,CDS,1317,algJ,2.3.1.-,,putative alginate O-acetylase AlgJ
GMHGOCAD_01041,CDS,1125,algL,4.2.2.3,,Alginate lyase
GMHGOCAD_01042,CDS,1449,algX,2.3.1.-,,Alginate biosynthesis protein AlgX
GMHGOCAD_01043,CDS,1605,algG,5.1.3.37,,Mannuronan C5-epimerase
GMHGOCAD_01044,CDS,1536,algE,,,Alginate production protein AlgE
GMHGOCAD_01045,CDS,1395,algK,,COG0790,Alginate biosynthesis protein AlgK
GMHGOCAD_01047,CDS,1482,alg8,2.4.1.33,COG1215,Mannuronan synthase
GMHGOCAD_01048,CDS,1317,algD,1.1.1.132,COG1004,GDP-mannose 6-dehydrogenase
GMHGOCAD_01049,CDS,780,yaaA,,COG3022,Peroxide stress resistance protein YaaA
GMHGOCAD_01052,CDS,918,pcpR_1,,,PCP degradation transcriptional activation protein
GMHGOCAD_01054,CDS,474,moaC_1,4.6.1.17,COG0315,Cyclic pyranopterin monophosphate synthase
GMHGOCAD_01055,CDS,243,moaD_1,,COG1977,Molybdopterin synthase sulfur carrier subunit
GMHGOCAD_01056,CDS,453,moaE_1,2.8.1.12,COG0314,Molybdopterin synthase catalytic subunit
GMHGOCAD_01057,CDS,777,argT_1,,COG0834,Lysine/arginine/ornithine-binding periplasmic protein
GMHGOCAD_01058,CDS,630,dauR_1,,COG2964,Transcriptional regulator DauR
GMHGOCAD_01059,CDS,1128,dauA_3,1.4.99.6,,FAD-dependent catabolic D-arginine dehydrogenase DauA
GMHGOCAD_01060,CDS,954,dauB,1.4.1.25,COG2423,NAD(P)H-dependent anabolic L-arginine dehydrogenase DauB
GMHGOCAD_01062,CDS,657,estB_1,3.1.1.1,COG0400,Carboxylesterase 2
GMHGOCAD_01063,CDS,783,nanR_1,,,HTH-type transcriptional repressor NanR
GMHGOCAD_01064,CDS,1272,yycB_2,,COG2807,putative transporter YycB
GMHGOCAD_01069,CDS,1005,yejK_1,,COG3081,Nucleoid-associated protein YejK
GMHGOCAD_01070,CDS,282,hupB_1,,COG0776,DNA-binding protein HRm
GMHGOCAD_01071,CDS,1065,rlmF,2.1.1.181,COG3129,Ribosomal RNA large subunit methyltransferase F
GMHGOCAD_01072,CDS,2847,valS_1,6.1.1.9,COG0525,Valine--tRNA ligase
GMHGOCAD_01074,CDS,429,holC,2.7.7.7,COG2927,DNA polymerase III subunit chi
GMHGOCAD_01076,CDS,1119,lptF,,COG0795,Lipopolysaccharide export system permease protein LptF
GMHGOCAD_01077,CDS,1062,lptG,,COG0795,Lipopolysaccharide export system permease protein LptG
GMHGOCAD_01081,CDS,903,era,,COG1159,GTPase Era
GMHGOCAD_01083,CDS,744,pdxJ,2.6.99.2,,Pyridoxine 5'-phosphate synthase
GMHGOCAD_01085,CDS,3897,purL,6.3.5.3,COG0046,Phosphoribosylformylglycinamidine synthase
GMHGOCAD_01087,CDS,1707,nagE,,COG1263,PTS system N-acetylglucosamine-specific EIICBA component
GMHGOCAD_01089,CDS,1023,glmS_1,2.6.1.16,COG0449,Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
GMHGOCAD_01090,CDS,1107,agaA,3.5.1.-,COG1820,N-acetylgalactosamine-6-phosphate deacetylase
GMHGOCAD_01091,CDS,732,nagR_2,,COG2188,HTH-type transcriptional repressor NagR
GMHGOCAD_01093,CDS,552,nudC_1,3.6.1.22,,NADH pyrophosphatase
GMHGOCAD_01094,CDS,600,nudL,3.6.1.-,,putative Nudix hydrolase NudL
GMHGOCAD_01095,CDS,567,caiE,,,Carnitine operon protein CaiE
GMHGOCAD_01098,CDS,1182,purT,2.1.2.-,COG0027,Formate-dependent phosphoribosylglycinamide formyltransferase
GMHGOCAD_01099,CDS,1317,yhjE,,,Inner membrane metabolite transport protein YhjE
GMHGOCAD_01101,CDS,813,ypjD,,COG4137,Inner membrane protein YpjD
GMHGOCAD_01103,CDS,252,rpsP,,COG0228,30S ribosomal protein S16
GMHGOCAD_01110,CDS,897,xerD_2,,COG4974,Tyrosine recombinase XerD
GMHGOCAD_01111,CDS,732,dsbC,,COG1651,Thiol:disulfide interchange protein DsbC
GMHGOCAD_01114,CDS,3594,bvgS_1,2.7.13.3,,Virulence sensor protein BvgS
GMHGOCAD_01116,CDS,663,rcsB_1,,COG2197,Transcriptional regulatory protein RcsB
GMHGOCAD_01119,CDS,1200,smtB_1,2.8.3.22,COG1804,Succinyl-CoA--L-malate CoA-transferase beta subunit
GMHGOCAD_01121,CDS,696,ydjF,,COG1842,Phage shock protein A 
GMHGOCAD_01127,CDS,543,yaeQ,,COG4681,putative protein YaeQ
GMHGOCAD_01128,CDS,1710,recJ,3.1.-.-,COG0608,Single-stranded-DNA-specific exonuclease RecJ
GMHGOCAD_01129,CDS,1107,namA,1.6.99.1,COG1902,NADPH dehydrogenase
GMHGOCAD_01130,CDS,1626,mdoD,,COG3131,Glucans biosynthesis protein D
GMHGOCAD_01136,CDS,1425,prr_1,1.2.1.19,COG1012,Gamma-aminobutyraldehyde dehydrogenase
GMHGOCAD_01138,CDS,1428,potE_1,,,Putrescine transporter PotE
GMHGOCAD_01139,CDS,1152,dhaT_1,1.1.1.202,COG1454,"1,3-propanediol dehydrogenase"
GMHGOCAD_01140,CDS,1458,prr_2,1.2.1.19,COG1012,Gamma-aminobutyraldehyde dehydrogenase
GMHGOCAD_01141,CDS,1023,hdfR_4,,,HTH-type transcriptional regulator HdfR
GMHGOCAD_01144,CDS,537,cheW_1,,COG0835,Chemotaxis protein CheW
GMHGOCAD_01145,CDS,1278,wspC,2.1.1.-,COG0457,putative biofilm formation methyltransferase WspC
GMHGOCAD_01147,CDS,2328,rcsC_2,2.7.13.3,,Sensor histidine kinase RcsC
GMHGOCAD_01148,CDS,1011,cheB_1,3.1.1.61,COG2201,Protein-glutamate methylesterase/protein-glutamine glutaminase
GMHGOCAD_01149,CDS,1002,cheB_2,3.5.1.44,,Protein-glutamate methylesterase/protein-glutamine glutaminase
GMHGOCAD_01151,CDS,915,prfB_1,,COG1186,Peptide chain release factor RF2
GMHGOCAD_01152,CDS,1503,lysS,6.1.1.6,COG1190,Lysine--tRNA ligase
GMHGOCAD_01157,CDS,783,pal_2,,,Peptidoglycan-associated lipoprotein
GMHGOCAD_01160,CDS,2631,ppc,4.1.1.31,COG2352,Phosphoenolpyruvate carboxylase
GMHGOCAD_01162,CDS,675,tsaB,,COG1214,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
